  PID TTY      STAT   TIME COMMAND
 2551 ?        Sl     0:00 /usr/lib/ibus/ibus-dconf
 2558 ?        Sl     0:03 /usr/lib/ibus/ibus-ui-gtk3
 2564 ?        Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 2574 ?        Ssl    0:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
 2583 ?        Ssl    0:01 /usr/lib/x86_64-linux-gnu/hud/hud-service
 2587 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
 2589 ?        Ssl    0:00 gnome-session --session=ubuntu
 2595 ?        Ssl    0:12 /usr/lib/unity/unity-panel-service
 2597 ?        S      0:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
 2608 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 2623 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
 2625 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
 2626 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
 2628 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
 2635 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
 2637 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
 2638 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
 2650 ?        Sl     0:00 /usr/lib/evolution/evolution-source-registry
 2652 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
 2653 ?        Sl     0:04 /usr/lib/ibus/ibus-engine-simple
 2659 ?        Sl     0:02 /usr/lib/x86_64-linux-gnu/notify-osd
 2665 ?        Ssl    0:09 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
 2713 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 2716 ?        Sl     1:01 compiz
 2722 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory
 2726 ?        Sl     0:01 nautilus -n
 2728 ?        S      0:00 socat openssl-connect:192.168.82.5:789,cafile=/etc/epoptes/server.crt,interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
 2730 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 2739 ?        Sl     0:08 nm-applet
 2740 ?        Sl     0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
 2767 ?        Sl     0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 2775 ?        Sl     0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 2781 ?        Sl     0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 2792 ?        Sl     0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 2798 ?        S      0:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
